"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1368252,"2023","SEPTIEMBRE","DOMINGO","2023-09-10",21,"Robo","Robo total","SI","NO","SAN NICOLAS",1,"-34.60361579","-58.38313926",1
1368253,"2023","FEBRERO","VIERNES","2023-02-10",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603712","-58.383174",1
1368254,"2023","SEPTIEMBRE","DOMINGO","2023-09-10",7,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.605393","-58.39212",1
1368255,"2023","SEPTIEMBRE","DOMINGO","2023-09-03",6,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.605102","-58.392142",1
1368256,"2023","FEBRERO","VIERNES","2023-02-03",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.604505","-58.383636",1
1368257,"2023","MARZO","SABADO","2023-03-18",18,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60448","-58.383716",1
1368258,"2023","OCTUBRE","MARTES","2023-10-17",15,"Robo","Robo total","NO","SI","SAN NICOLAS",1,"-34.604666","-58.38365967",1
1368259,"2023","ABRIL","JUEVES","2023-04-13",15,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.604044","-58.383673",1
1368260,"2023","OCTUBRE","JUEVES","2023-10-12",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.604044","-58.383673",1
1368261,"2023","ENERO","VIERNES","2023-01-13",18,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603901","-58.383582",1
1368262,"2023","MARZO","DOMINGO","2023-03-19",22,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603927","-58.38402",1
1368263,"2023","ABRIL","JUEVES","2023-04-06",14,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.603901","-58.383582",1
1368264,"2023","JULIO","DOMINGO","2023-07-16",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603901","-58.383582",1
1368265,"2023","SEPTIEMBRE","MIERCOLES","2023-09-27",13,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.603919","-58.383757",1
1368266,"2023","OCTUBRE","MARTES","2023-10-17",1,"Hurto","Hurto total","NO","NO","VILLA SOLDATI",8,"-34.65672471","-58.45162423",1
1368267,"2023","DICIEMBRE","MARTES","2023-12-12",19,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60389773","-58.38378811",1
1368268,"2023","NOVIEMBRE","SABADO","2023-11-11",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603901","-58.383582",1
1368269,"2023","ABRIL","VIERNES","2023-04-14",23,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603901","-58.383582",1
1368270,"2023","MARZO","VIERNES","2023-03-03",14,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603891","-58.383415",1
1368271,"2023","NOVIEMBRE","MIERCOLES","2023-11-08",21,"Hurto","Hurto automotor","NO","NO","VILLA SOLDATI",8,"-34.66675739","-58.44434155",1
1368272,"2023","AGOSTO","MARTES","2023-08-01",20,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.603891","-58.383415",1
1368273,"2023","OCTUBRE","SABADO","2023-10-28",23,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603872","-58.383089",1
1368274,"2023","OCTUBRE","DOMINGO","2023-10-01",21,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603872","-58.383089",1
1368275,"2023","DICIEMBRE","LUNES","2023-12-25",22,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603891","-58.383415",1
1368276,"2023","NOVIEMBRE","DOMINGO","2023-11-12",23,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603872","-58.383089",1
1368277,"2023","JUNIO","DOMINGO","2023-06-04",22,"Robo","Robo total","NO","SI","MONSERRAT",1,"-34.610397","-58.391848",1
1368278,"2023","NOVIEMBRE","SABADO","2023-11-04",21,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.610397","-58.391848",1
1368279,"2023","ABRIL","JUEVES","2023-04-27",16,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.610397","-58.391848",1
1368280,"2023","JULIO","VIERNES","2023-07-21",20,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.610397","-58.391848",1
1368281,"2023","ABRIL","LUNES","2023-04-17",18,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61077833","-58.39183467",1
1368282,"2023","SEPTIEMBRE","MARTES","2023-09-12",12,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.61765727","-58.39170224",1
1368283,"2023","DICIEMBRE","LUNES","2023-12-25",1,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.617346","-58.39170467",1
1368284,"2023","ABRIL","MARTES","2023-04-04",7,"Robo","Robo total","SI","NO","BALVANERA",3,"-34.61765727","-58.39170224",1
1368285,"2023","JULIO","MIERCOLES","2023-07-05",18,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60624883","-58.38386422",1
1368286,"2023","OCTUBRE","MIERCOLES","2023-10-18",15,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606291","-58.383901",1
1368287,"2023","ABRIL","SABADO","2023-04-01",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606714","-58.383526",1
1368288,"2023","MARZO","VIERNES","2023-03-03",9,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606802","-58.384921",1
1368289,"2023","DICIEMBRE","MIERCOLES","2023-12-06",10,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.6063174","-58.38513201",1
1368290,"2023","JULIO","VIERNES","2023-07-21",21,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.606234","-58.383589",1
1368291,"2023","FEBRERO","JUEVES","2023-02-16",7,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606286","-58.384614",1
1368292,"2023","JULIO","DOMINGO","2023-07-16",17,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60701003","-58.38495382",1
1368293,"2023","SEPTIEMBRE","VIERNES","2023-09-01",23,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606846","-58.385397",1
1368294,"2023","MAYO","DOMINGO","2023-05-14",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.606213","-58.383712",1
